bioguide_id,role,start,end,party,district,senator_class,state,state_rank
F000062,sen,1995-01-04,2000-12-15,Democrat,,1,CA,
F000062,sen,2001-01-03,2006-12-09,Democrat,,1,CA,
F000062,sen,2007-01-04,2013-01-03,Democrat,,1,CA,
F000062,sen,2013-01-03,2019-01-03,Democrat,,1,CA,senior
H000338,sen,1977-01-04,1982-12-23,Republican,,1,UT,
H000338,sen,1983-01-03,1988-10-22,Republican,,1,UT,
H000338,sen,1989-01-03,1994-12-01,Republican,,1,UT,
H000338,sen,1995-01-04,2000-12-15,Republican,,1,UT,
H000338,sen,2001-01-03,2006-12-09,Republican,,1,UT,
H000338,sen,2007-01-04,2013-01-03,Republican,,1,UT,
H000338,sen,2013-01-03,2019-01-03,Republican,,1,UT,senior
K000367,sen,2007-01-04,2013-01-03,Democrat,,1,MN,
K000367,sen,2013-01-03,2019-01-03,Democrat,,1,MN,senior
M001170,sen,2007-01-04,2013-01-03,Democrat,,1,MO,
M001170,sen,2013-01-03,2019-01-03,Democrat,,1,MO,senior
M000639,rep,1993-01-05,1994-12-01,Democrat,13,,NJ,
M000639,rep,1995-01-04,1996-10-04,Democrat,13,,NJ,
M000639,rep,1997-01-07,1998-12-19,Democrat,13,,NJ,
M000639,rep,1999-01-06,2000-12-15,Democrat,13,,NJ,
M000639,rep,2001-01-03,2002-11-22,Democrat,13,,NJ,
M000639,rep,2003-01-07,2004-12-09,Democrat,13,,NJ,
M000639,rep,2005-01-04,2006-01-16,Democrat,13,,NJ,
M000639,sen,2006-01-18,2006-12-09,Democrat,,1,NJ,
M000639,sen,2007-01-04,2013-01-03,Democrat,,1,NJ,
M000639,sen,2013-01-03,2019-01-03,Democrat,,1,NJ,senior
N000032,rep,1979-01-15,1980-12-16,Democrat,9,,FL,
N000032,rep,1981-01-05,1982-12-23,Democrat,9,,FL,
N000032,rep,1983-01-03,1984-10-12,Democrat,11,,FL,
N000032,rep,1985-01-03,1986-10-18,Democrat,11,,FL,
N000032,rep,1987-01-06,1988-10-22,Democrat,11,,FL,
N000032,rep,1989-01-03,1990-10-28,Democrat,11,,FL,
N000032,sen,2001-01-03,2006-12-09,Democrat,,1,FL,
N000032,sen,2007-01-04,2013-01-03,Democrat,,1,FL,
N000032,sen,2013-01-03,2019-01-03,Democrat,,1,FL,senior
S000033,rep,1991-01-03,1992-10-09,Independent,0,,VT,
S000033,rep,1993-01-05,1994-12-01,Independent,0,,VT,
S000033,rep,1995-01-04,1996-10-04,Independent,0,,VT,
S000033,rep,1997-01-07,1998-12-19,Independent,0,,VT,
S000033,rep,1999-01-06,2000-12-15,Independent,0,,VT,
S000033,rep,2001-01-03,2002-11-22,Independent,0,,VT,
S000033,rep,2003-01-07,2004-12-09,Independent,0,,VT,
S000033,rep,2005-01-04,2006-12-09,Independent,0,,VT,
S000033,sen,2007-01-04,2013-01-03,Independent,,1,VT,
S000033,sen,2013-01-03,2019-01-03,Independent,,1,VT,junior
S000770,rep,1997-01-07,1998-12-19,Democrat,8,,MI,
S000770,rep,1999-01-06,2000-12-15,Democrat,8,,MI,
S000770,sen,2001-01-03,2006-12-09,Democrat,,1,MI,
S000770,sen,2007-01-04,2013-01-03,Democrat,,1,MI,
S000770,sen,2013-01-03,2019-01-03,Democrat,,1,MI,senior
T000464,sen,2007-01-04,2013-01-03,Democrat,,1,MT,
T000464,sen,2013-01-03,2019-01-03,Democrat,,1,MT,senior
W000802,sen,2007-01-04,2013-01-03,Democrat,,1,RI,
W000802,sen,2013-01-03,2019-01-03,Democrat,,1,RI,junior
B001261,sen,2007-06-25,2013-01-03,Republican,,1,WY,
B001261,sen,2013-01-03,2019-01-03,Republican,,1,WY,junior
W000437,rep,1995-01-04,1996-10-04,Republican,1,,MS,
W000437,rep,1997-01-07,1998-12-19,Republican,1,,MS,
W000437,rep,1999-01-06,2000-12-15,Republican,1,,MS,
W000437,rep,2001-01-03,2002-11-22,Republican,1,,MS,
W000437,rep,2003-01-07,2004-12-09,Republican,1,,MS,
W000437,rep,2005-01-04,2006-12-09,Republican,1,,MS,
W000437,rep,2007-01-04,2007-12-31,Republican,1,,MS,
W000437,sen,2007-12-31,2013-01-03,Republican,,1,MS,
W000437,sen,2013-01-03,2019-01-03,Republican,,1,MS,junior
A000360,sen,2003-01-07,2009-01-03,Republican,,2,TN,
A000360,sen,2009-01-06,2015-01-03,Republican,,2,TN,senior
A000360,sen,2015-01-06,2021-01-03,Republican,,2,TN,senior
C000567,rep,1973-01-03,1974-12-20,Republican,4,,MS,
C000567,rep,1975-01-14,1976-10-01,Republican,4,,MS,
C000567,rep,1977-01-04,1978-10-15,Republican,4,,MS,
C000567,sen,1979-01-15,1984-10-12,Republican,,2,MS,
C000567,sen,1985-01-03,1990-10-28,Republican,,2,MS,
C000567,sen,1991-01-03,1996-10-04,Republican,,2,MS,
C000567,sen,1997-01-07,2002-11-22,Republican,,2,MS,
C000567,sen,2003-01-07,2009-01-03,Republican,,2,MS,
C000567,sen,2009-01-06,2015-01-03,Republican,,2,MS,senior
C000567,sen,2015-01-06,2021-01-03,Republican,,2,MS,senior
C001035,sen,1997-01-07,2002-11-22,Republican,,2,ME,
C001035,sen,2003-01-07,2009-01-03,Republican,,2,ME,
C001035,sen,2009-01-06,2015-01-03,Republican,,2,ME,senior
C001035,sen,2015-01-06,2021-01-03,Republican,,2,ME,senior
C001056,sen,2002-01-01,2002-11-22,Republican,,2,TX,
C001056,sen,2003-01-07,2009-01-03,Republican,,2,TX,
C001056,sen,2009-01-06,2015-01-03,Republican,,2,TX,senior
C001056,sen,2015-01-06,2021-01-03,Republican,,2,TX,senior
D000563,rep,1983-01-03,1984-10-12,Democrat,20,,IL,
D000563,rep,1985-01-03,1986-10-18,Democrat,20,,IL,
D000563,rep,1987-01-06,1988-10-22,Democrat,20,,IL,
D000563,rep,1989-01-03,1990-10-28,Democrat,20,,IL,
D000563,rep,1991-01-03,1992-10-09,Democrat,20,,IL,
D000563,rep,1993-01-05,1994-12-01,Democrat,20,,IL,
D000563,rep,1995-01-04,1996-10-04,Democrat,20,,IL,
D000563,sen,1997-01-07,2002-11-22,Democrat,,2,IL,
D000563,sen,2003-01-07,2009-01-03,Democrat,,2,IL,
D000563,sen,2009-01-06,2015-01-03,Democrat,,2,IL,senior
D000563,sen,2015-01-06,2021-01-03,Democrat,,2,IL,senior
E000285,sen,1997-01-07,2002-11-22,Republican,,2,WY,
E000285,sen,2003-01-07,2009-01-03,Republican,,2,WY,
E000285,sen,2009-01-06,2015-01-03,Republican,,2,WY,senior
E000285,sen,2015-01-06,2021-01-03,Republican,,2,WY,senior
G000359,rep,1995-01-04,1996-10-04,Republican,3,,SC,
G000359,rep,1997-01-07,1998-12-19,Republican,3,,SC,
G000359,rep,1999-01-06,2000-12-15,Republican,3,,SC,
G000359,rep,2001-01-03,2002-11-22,Republican,3,,SC,
G000359,sen,2003-01-07,2009-01-03,Republican,,2,SC,
G000359,sen,2009-01-06,2015-01-03,Republican,,2,SC,senior
G000359,sen,2015-01-06,2021-01-03,Republican,,2,SC,senior
I000024,rep,1987-01-06,1988-10-22,Republican,1,,OK,
I000024,rep,1989-01-03,1990-10-28,Republican,1,,OK,
I000024,rep,1991-01-03,1992-10-09,Republican,1,,OK,
I000024,rep,1993-01-05,1994-11-15,Republican,1,,OK,
I000024,sen,1994-01-01,1996-10-04,Republican,,2,OK,
I000024,sen,1997-01-07,2002-11-22,Republican,,2,OK,
I000024,sen,2003-01-07,2009-01-03,Republican,,2,OK,
I000024,sen,2009-01-06,2015-01-03,Republican,,2,OK,senior
I000024,sen,2015-01-06,2021-01-03,Republican,,2,OK,senior
M000355,sen,1985-01-03,1990-10-28,Republican,,2,KY,
M000355,sen,1991-01-03,1996-10-04,Republican,,2,KY,
M000355,sen,1997-01-07,2002-11-22,Republican,,2,KY,
M000355,sen,2003-01-07,2009-01-03,Republican,,2,KY,
M000355,sen,2009-01-06,2015-01-03,Republican,,2,KY,senior
M000355,sen,2015-01-06,2021-01-03,Republican,,2,KY,senior
M001176,sen,2009-01-06,2015-01-03,Democrat,,2,OR,junior
M001176,sen,2015-01-06,2021-01-03,Democrat,,2,OR,junior
R000122,rep,1991-01-03,1992-10-09,Democrat,2,,RI,
R000122,rep,1993-01-05,1994-12-01,Democrat,2,,RI,
R000122,rep,1995-01-04,1996-10-04,Democrat,2,,RI,
R000122,sen,1997-01-07,2002-11-22,Democrat,,2,RI,
R000122,sen,2003-01-07,2009-01-03,Democrat,,2,RI,
R000122,sen,2009-01-06,2015-01-03,Democrat,,2,RI,senior
R000122,sen,2015-01-06,2021-01-03,Democrat,,2,RI,senior
R000584,sen,2009-01-06,2015-01-03,Republican,,2,ID,junior
R000584,sen,2015-01-06,2021-01-03,Republican,,2,ID,junior
R000307,rep,1981-01-05,1982-12-23,Republican,1,,KS,
R000307,rep,1983-01-03,1984-10-12,Republican,1,,KS,
R000307,rep,1985-01-03,1986-10-18,Republican,1,,KS,
R000307,rep,1987-01-06,1988-10-22,Republican,1,,KS,
R000307,rep,1989-01-03,1990-10-28,Republican,1,,KS,
R000307,rep,1991-01-03,1992-10-09,Republican,1,,KS,
R000307,rep,1993-01-05,1994-12-01,Republican,1,,KS,
R000307,rep,1995-01-04,1996-10-04,Republican,1,,KS,
R000307,sen,1997-01-07,2002-11-22,Republican,,2,KS,
R000307,sen,2003-01-07,2009-01-03,Republican,,2,KS,
R000307,sen,2009-01-06,2015-01-03,Republican,,2,KS,senior
R000307,sen,2015-01-06,2021-01-03,Republican,,2,KS,senior
S001141,sen,1997-01-07,2002-11-22,Republican,,2,AL,
S001141,sen,2003-01-07,2009-01-03,Republican,,2,AL,
S001141,sen,2009-01-06,2015-01-03,Republican,,2,AL,junior
S001141,sen,2015-01-06,2021-01-03,Republican,,2,AL,junior
S001181,sen,2009-01-06,2015-01-03,Democrat,,2,NH,senior
S001181,sen,2015-01-06,2021-01-03,Democrat,,2,NH,senior
U000039,rep,1999-01-06,2000-12-15,Democrat,3,,NM,
U000039,rep,2001-01-03,2002-11-22,Democrat,3,,NM,
U000039,rep,2003-01-07,2004-12-09,Democrat,3,,NM,
U000039,rep,2005-01-04,2006-12-09,Democrat,3,,NM,
U000039,rep,2007-01-04,2009-01-03,Democrat,3,,NM,
U000039,sen,2009-01-06,2015-01-03,Democrat,,2,NM,senior
U000039,sen,2015-01-06,2021-01-03,Democrat,,2,NM,senior
W000805,sen,2009-01-06,2015-01-03,Democrat,,2,VA,senior
W000805,sen,2015-01-06,2021-01-03,Democrat,,2,VA,senior
G000555,rep,2007-01-04,2009-01-03,Democrat,20,,NY,
G000555,rep,2009-01-06,2009-01-26,Democrat,20,,NY,
G000555,sen,2009-01-27,2013-01-03,Democrat,,1,NY,
G000555,sen,2013-01-03,2019-01-03,Democrat,,1,NY,junior
F000457,sen,2009-07-07,2015-01-03,Democrat,,2,MN,junior
F000457,sen,2015-01-06,2021-01-03,Democrat,,2,MN,junior
C001088,sen,2010-11-15,2015-01-03,Democrat,,2,DE,junior
C001088,sen,2015-01-06,2021-01-03,Democrat,,2,DE,junior
M001183,sen,2010-11-15,2013-01-03,Democrat,,1,WV,
M001183,sen,2013-01-03,2019-01-03,Democrat,,1,WV,senior
A000055,rep,1997-01-07,1998-12-19,Republican,4,,AL,
A000055,rep,1999-01-06,2000-12-15,Republican,4,,AL,
A000055,rep,2001-01-03,2002-11-22,Republican,4,,AL,
A000055,rep,2003-01-07,2004-12-09,Republican,4,,AL,
A000055,rep,2005-01-04,2006-12-09,Republican,4,,AL,
A000055,rep,2007-01-04,2009-01-03,Republican,4,,AL,
A000055,rep,2009-01-06,2010-12-22,Republican,4,,AL,
A000055,rep,2011-01-05,2013-01-03,Republican,4,,AL,
A000055,rep,2013-01-03,2015-01-03,Republican,4,,AL,
A000055,rep,2015-01-06,2017-01-03,Republican,4,,AL,
A000367,rep,2011-01-05,2013-01-03,Republican,3,,MI,
A000367,rep,2013-01-03,2015-01-03,Republican,3,,MI,
A000367,rep,2015-01-06,2017-01-03,Republican,3,,MI,
A000368,sen,2011-01-05,2017-01-03,Republican,,3,NH,junior
B001230,rep,1999-01-06,2000-12-15,Democrat,2,,WI,
B001230,rep,2001-01-03,2002-11-22,Democrat,2,,WI,
B001230,rep,2003-01-07,2004-12-09,Democrat,2,,WI,
B001230,rep,2005-01-04,2006-12-09,Democrat,2,,WI,
B001230,rep,2007-01-04,2009-01-03,Democrat,2,,WI,
B001230,rep,2009-01-06,2010-12-22,Democrat,2,,WI,
B001230,rep,2011-01-05,2013-01-03,Democrat,2,,WI,
B001230,sen,2013-01-03,2019-01-03,Democrat,,1,WI,junior
B001269,rep,2011-01-05,2013-01-03,Republican,11,,PA,
B001269,rep,2013-01-03,2015-01-03,Republican,11,,PA,
B001269,rep,2015-01-06,2017-01-03,Republican,11,,PA,
B000213,rep,1985-01-03,1986-10-18,Republican,6,,TX,
B000213,rep,1987-01-06,1988-10-22,Republican,6,,TX,
B000213,rep,1989-01-03,1990-10-28,Republican,6,,TX,
B000213,rep,1991-01-03,1992-10-09,Republican,6,,TX,
B000213,rep,1993-01-05,1994-12-01,Republican,6,,TX,
B000213,rep,1995-01-04,1996-10-04,Republican,6,,TX,
B000213,rep,1997-01-07,1998-12-19,Republican,6,,TX,
B000213,rep,1999-01-06,2000-12-15,Republican,6,,TX,
B000213,rep,2001-01-03,2002-11-22,Republican,6,,TX,
B000213,rep,2003-01-07,2004-12-09,Republican,6,,TX,
B000213,rep,2005-01-04,2006-12-09,Republican,6,,TX,
B000213,rep,2007-01-04,2009-01-03,Republican,6,,TX,
B000213,rep,2009-01-06,2010-12-22,Republican,6,,TX,
B000213,rep,2011-01-05,2013-01-03,Republican,6,,TX,
B000213,rep,2013-01-03,2015-01-03,Republican,6,,TX,
B000213,rep,2015-01-06,2017-01-03,Republican,6,,TX,
B001270,rep,2011-01-05,2013-01-03,Democrat,33,,CA,
B001270,rep,2013-01-03,2015-01-03,Democrat,37,,CA,
B001270,rep,2015-01-06,2017-01-03,Democrat,37,,CA,
B000287,rep,1993-01-05,1994-12-01,Democrat,30,,CA,
B000287,rep,1995-01-04,1996-10-04,Democrat,30,,CA,
B000287,rep,1997-01-07,1998-12-19,Democrat,30,,CA,
B000287,rep,1999-01-06,2000-12-15,Democrat,30,,CA,
B000287,rep,2001-01-03,2002-11-22,Democrat,30,,CA,
B000287,rep,2003-01-07,2004-12-09,Democrat,31,,CA,
B000287,rep,2005-01-04,2006-12-09,Democrat,31,,CA,
B000287,rep,2007-01-04,2009-01-03,Democrat,31,,CA,
B000287,rep,2009-01-06,2010-12-22,Democrat,31,,CA,
B000287,rep,2011-01-05,2013-01-03,Democrat,31,,CA,
B000287,rep,2013-01-03,2015-01-03,Democrat,34,,CA,
B000287,rep,2015-01-06,2017-01-03,Democrat,34,,CA,
B001271,rep,2011-01-05,2013-01-03,Republican,1,,MI,
B001271,rep,2013-01-03,2015-01-03,Republican,1,,MI,
B001271,rep,2015-01-06,2017-01-03,Republican,1,,MI,
B001267,sen,2009-01-22,2010-12-22,Democrat,,3,CO,
B001267,sen,2011-01-05,2017-01-03,Democrat,,3,CO,senior
B001257,rep,2007-01-04,2009-01-03,Republican,9,,FL,
B001257,rep,2009-01-06,2010-12-22,Republican,9,,FL,
B001257,rep,2011-01-05,2013-01-03,Republican,9,,FL,
B001257,rep,2013-01-03,2015-01-03,Republican,12,,FL,
B001257,rep,2015-01-06,2017-01-03,Republican,12,,FL,
B001250,rep,2003-01-07,2004-12-09,Republican,1,,UT,
B001250,rep,2005-01-04,2006-12-09,Republican,1,,UT,
B001250,rep,2007-01-04,2009-01-03,Republican,1,,UT,
B001250,rep,2009-01-06,2010-12-22,Republican,1,,UT,
B001250,rep,2011-01-05,2013-01-03,Republican,1,,UT,
B001250,rep,2013-01-03,2015-01-03,Republican,1,,UT,
B001250,rep,2015-01-06,2017-01-03,Republican,1,,UT,
B000490,rep,1993-01-05,1994-12-01,Democrat,2,,GA,
B000490,rep,1995-01-04,1996-10-04,Democrat,2,,GA,
B000490,rep,1997-01-07,1998-12-19,Democrat,2,,GA,
B000490,rep,1999-01-06,2000-12-15,Democrat,2,,GA,
B000490,rep,2001-01-03,2002-11-22,Democrat,2,,GA,
B000490,rep,2003-01-07,2004-12-09,Democrat,2,,GA,
B000490,rep,2005-01-04,2006-12-09,Democrat,2,,GA,
B000490,rep,2007-01-04,2009-01-03,Democrat,2,,GA,
B000490,rep,2009-01-06,2010-12-22,Democrat,2,,GA,
B000490,rep,2011-01-05,2013-01-03,Democrat,2,,GA,
B000490,rep,2013-01-03,2015-01-03,Democrat,2,,GA,
B000490,rep,2015-01-06,2017-01-03,Democrat,2,,GA,
B001273,rep,2011-01-05,2013-01-03,Republican,6,,TN,
B001273,rep,2013-01-03,2015-01-03,Republican,6,,TN,
B001273,rep,2015-01-06,2017-01-03,Republican,6,,TN,
B001243,rep,2003-01-07,2004-12-09,Republican,7,,TN,
B001243,rep,2005-01-04,2006-12-09,Republican,7,,TN,
B001243,rep,2007-01-04,2009-01-03,Republican,7,,TN,
B001243,rep,2009-01-06,2010-12-22,Republican,7,,TN,
B001243,rep,2011-01-05,2013-01-03,Republican,7,,TN,
B001243,rep,2013-01-03,2015-01-03,Republican,7,,TN,
B001243,rep,2015-01-06,2017-01-03,Republican,7,,TN,
B000574,rep,1996-05-21,1996-10-04,Democrat,3,,OR,
B000574,rep,1997-01-07,1998-12-19,Democrat,3,,OR,
B000574,rep,1999-01-06,2000-12-15,Democrat,3,,OR,
B000574,rep,2001-01-03,2002-11-22,Democrat,3,,OR,
B000574,rep,2003-01-07,2004-12-09,Democrat,3,,OR,
B000574,rep,2005-01-04,2006-12-09,Democrat,3,,OR,
B000574,rep,2007-01-04,2009-01-03,Democrat,3,,OR,
B000574,rep,2009-01-06,2010-12-22,Democrat,3,,OR,
B000574,rep,2011-01-05,2013-01-03,Democrat,3,,OR,
B000574,rep,2013-01-03,2015-01-03,Democrat,3,,OR,
B000574,rep,2015-01-06,2017-01-03,Democrat,3,,OR,
B001277,sen,2011-01-05,2017-01-03,Democrat,,3,CT,senior
B000575,rep,1997-01-07,1998-12-19,Republican,7,,MO,
B000575,rep,1999-01-06,2000-12-15,Republican,7,,MO,
B000575,rep,2001-01-03,2002-11-22,Republican,7,,MO,
B000575,rep,2003-01-07,2004-12-09,Republican,7,,MO,
B000575,rep,2005-01-04,2006-12-09,Republican,7,,MO,
B000575,rep,2007-01-04,2009-01-03,Republican,7,,MO,
B000575,rep,2009-01-06,2010-12-22,Republican,7,,MO,
B000575,sen,2011-01-05,2017-01-03,Republican,,3,MO,junior
B000589,rep,1991-01-03,1992-10-09,Republican,8,,OH,
B000589,rep,1993-01-05,1994-12-01,Republican,8,,OH,
B000589,rep,1995-01-04,1996-10-04,Republican,8,,OH,
B000589,rep,1997-01-07,1998-12-19,Republican,8,,OH,
B000589,rep,1999-01-06,2000-12-15,Republican,8,,OH,
B000589,rep,2001-01-03,2002-11-22,Republican,8,,OH,
B000589,rep,2003-01-07,2004-12-09,Republican,8,,OH,
B000589,rep,2005-01-04,2006-12-09,Republican,8,,OH,
B000589,rep,2007-01-04,2009-01-03,Republican,8,,OH,
B000589,rep,2009-01-06,2010-12-22,Republican,8,,OH,
B000589,rep,2011-01-05,2013-01-03,Republican,8,,OH,
B000589,rep,2013-01-03,2015-01-03,Republican,8,,OH,
B000589,rep,2015-01-06,2017-01-03,Republican,8,,OH,
B001236,rep,2001-11-29,2002-11-22,Republican,3,,AR,
B001236,rep,2003-01-07,2004-12-09,Republican,3,,AR,
B001236,rep,2005-01-04,2006-12-09,Republican,3,,AR,
B001236,rep,2007-01-04,2009-01-03,Republican,3,,AR,
B001236,rep,2009-01-06,2010-12-22,Republican,3,,AR,
B001236,sen,2011-01-05,2017-01-03,Republican,,3,AR,senior
B001245,rep,2003-01-07,2004-12-09,Democrat,0,,GU,
B001245,rep,2005-01-04,2006-12-09,Democrat,0,,GU,
B001245,rep,2007-01-04,2009-01-03,Democrat,0,,GU,
B001245,rep,2009-01-06,2010-12-22,Democrat,0,,GU,
B001245,rep,2011-01-05,2013-01-03,Democrat,0,,GU,
B001245,rep,2013-01-03,2015-01-03,Democrat,0,,GU,
B001245,rep,2015-01-06,2017-01-03,Democrat,0,,GU,
B001255,rep,2005-01-04,2006-12-09,Republican,7,,LA,
B001255,rep,2007-01-04,2009-01-03,Republican,7,,LA,
B001255,rep,2009-01-06,2010-12-22,Republican,7,,LA,
B001255,rep,2011-01-05,2013-01-03,Republican,7,,LA,
B001255,rep,2013-01-03,2015-01-03,Republican,3,,LA,
B001255,rep,2015-01-06,2017-01-03,Republican,3,,LA,
B000711,rep,1983-01-03,1984-10-12,Democrat,6,,CA,
B000711,rep,1985-01-03,1986-10-18,Democrat,6,,CA,
B000711,rep,1987-01-06,1988-10-22,Democrat,6,,CA,
B000711,rep,1989-01-03,1990-10-28,Democrat,6,,CA,
B000711,rep,1991-01-03,1992-10-09,Democrat,6,,CA,
B000711,sen,1993-01-05,1998-12-19,Democrat,,3,CA,
B000711,sen,1999-01-06,2004-12-09,Democrat,,3,CA,
B000711,sen,2005-01-04,2010-12-22,Democrat,,3,CA,
B000711,sen,2011-01-05,2017-01-03,Democrat,,3,CA,junior
B000755,rep,1997-01-07,1998-12-19,Republican,8,,TX,
B000755,rep,1999-01-06,2000-12-15,Republican,8,,TX,
B000755,rep,2001-01-03,2002-11-22,Republican,8,,TX,
B000755,rep,2003-01-07,2004-12-09,Republican,8,,TX,
B000755,rep,2005-01-04,2006-12-09,Republican,8,,TX,
B000755,rep,2007-01-04,2009-01-03,Republican,8,,TX,
B000755,rep,2009-01-06,2010-12-22,Republican,8,,TX,
B000755,rep,2011-01-05,2013-01-03,Republican,8,,TX,
B000755,rep,2013-01-03,2015-01-03,Republican,8,,TX,
B000755,rep,2015-01-06,2017-01-03,Republican,8,,TX,
B001227,rep,1998-05-19,1998-12-19,Democrat,1,,PA,
B001227,rep,1999-01-06,2000-12-15,Democrat,1,,PA,
B001227,rep,2001-01-03,2002-11-22,Democrat,1,,PA,
B001227,rep,2003-01-07,2004-12-09,Democrat,1,,PA,
B001227,rep,2005-01-04,2006-12-09,Democrat,1,,PA,
B001227,rep,2007-01-04,2009-01-03,Democrat,1,,PA,
B001227,rep,2009-01-06,2010-12-22,Democrat,1,,PA,
B001227,rep,2011-01-05,2013-01-03,Democrat,1,,PA,
B001227,rep,2013-01-03,2015-01-03,Democrat,1,,PA,
B001227,rep,2015-01-06,2017-01-03,Democrat,1,,PA,
B001274,rep,2011-01-05,2013-01-03,Republican,5,,AL,
B001274,rep,2013-01-03,2015-01-03,Republican,5,,AL,
B001274,rep,2015-01-06,2017-01-03,Republican,5,,AL,
B000911,rep,1993-01-05,1994-12-01,Democrat,3,,FL,
B000911,rep,1995-01-04,1996-10-04,Democrat,3,,FL,
B000911,rep,1997-01-07,1998-12-19,Democrat,3,,FL,
B000911,rep,1999-01-06,2000-12-15,Democrat,3,,FL,
B000911,rep,2001-01-03,2002-11-22,Democrat,3,,FL,
B000911,rep,2003-01-07,2004-12-09,Democrat,3,,FL,
B000911,rep,2005-01-04,2006-12-09,Democrat,3,,FL,
B000911,rep,2007-01-04,2009-01-03,Democrat,3,,FL,
B000911,rep,2009-01-06,2010-12-22,Democrat,3,,FL,
B000911,rep,2011-01-05,2013-01-03,Democrat,3,,FL,
B000911,rep,2013-01-03,2015-01-03,Democrat,5,,FL,
B000911,rep,2015-01-06,2017-01-03,Democrat,5,,FL,
B001260,rep,2007-01-04,2009-01-03,Republican,13,,FL,
B001260,rep,2009-01-06,2010-12-22,Republican,13,,FL,
B001260,rep,2011-01-05,2013-01-03,Republican,13,,FL,
B001260,rep,2013-01-03,2015-01-03,Republican,16,,FL,
B001260,rep,2015-01-06,2017-01-03,Republican,16,,FL,
B001275,rep,2011-01-05,2013-01-03,Republican,8,,IN,
B001275,rep,2013-01-03,2015-01-03,Republican,8,,IN,
B001275,rep,2015-01-06,2017-01-03,Republican,8,,IN,
B001248,rep,2003-01-07,2004-12-09,Republican,26,,TX,
B001248,rep,2005-01-04,2006-12-09,Republican,26,,TX,
B001248,rep,2007-01-04,2009-01-03,Republican,26,,TX,
B001248,rep,2009-01-06,2010-12-22,Republican,26,,TX,
B001248,rep,2011-01-05,2013-01-03,Republican,26,,TX,
B001248,rep,2013-01-03,2015-01-03,Republican,26,,TX,
B001248,rep,2015-01-06,2017-01-03,Republican,26,,TX,
B001135,rep,1995-01-04,1996-10-04,Republican,5,,NC,
B001135,rep,1997-01-07,1998-12-19,Republican,5,,NC,
B001135,rep,1999-01-06,2000-12-15,Republican,5,,NC,
B001135,rep,2001-01-03,2002-11-22,Republican,5,,NC,
B001135,rep,2003-01-07,2004-12-09,Republican,5,,NC,
B001135,sen,2005-01-04,2010-12-22,Republican,,3,NC,
B001135,sen,2011-01-05,2017-01-03,Republican,,3,NC,senior
B001251,rep,2004-07-21,2004-12-09,Democrat,1,,NC,
B001251,rep,2005-01-04,2006-12-09,Democrat,1,,NC,
B001251,rep,2007-01-04,2009-01-03,Democrat,1,,NC,
